publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2016p860108,,2016-11-14T05:45:45.460Z,2016-11-14T05:48:54.826Z,172.767194,-42.69869204,4.106710216,21.40625,M,,NonLinLoc,,automatic,nz3drx,36,36,26,0.3329476586,94.23679043,1.204356948,0
2016p860103,,2016-11-14T05:43:11.307Z,2016-11-14T05:46:19.624Z,173.0136158,-42.65240285,3.102013528,23.28125,M,,NonLinLoc,,automatic,nz3drx,26,26,13,0.315321175,140.9321135,0.8010080428,0
2016p860102,,2016-11-14T05:42:37.031Z,2016-11-14T05:45:07.205Z,174.4281562,-41.56899284,2.779473991,14.84375,M,,NonLinLoc,,automatic,nz3drx,29,29,18,0.2439098641,128.1913383,1.485621029,0
2016p860098,,2016-11-14T05:40:39.251Z,2016-11-14T05:43:40.257Z,173.5903955,-42.42044303,3.028634843,15.3125,M,,NonLinLoc,,automatic,nz3drx,17,17,10,0.03816465676,215.3101063,0.8982407118,0
2016p860095,,2016-11-14T05:39:00.696Z,2016-11-14T05:41:33.578Z,173.7752479,-42.39744367,3.1599313,15.78125,M,,NonLinLoc,,automatic,nz3drx,33,33,24,0.1755323224,150.529743,1.247926994,0
2016p860092,,2016-11-14T05:37:18.702Z,2016-11-14T05:39:42.854Z,172.8898069,-42.93427175,2.684249162,35.9375,M,,NonLinLoc,,automatic,nz3drx,10,10,7,0.1113085537,114.340794,0.998826617,0
2016p860090,,2016-11-14T05:35:57.559Z,2016-11-14T05:38:29.166Z,175.1905723,-39.79375394,2.611960725,25.15625,M,,NonLinLoc,,automatic,nz3drx,44,44,24,0.161471661,51.06453089,1.156497997,0
2016p860089,,2016-11-14T05:35:28.526Z,2016-11-14T05:37:41.224Z,173.5405277,-42.18703085,3.383396699,20.46875,M,,NonLinLoc,,automatic,nz3drx,17,17,11,0.2289387787,131.4626974,1.666562681,0
2016p860085,,2016-11-14T05:33:47.278Z,2016-11-14T05:36:07.630Z,174.8250928,-41.37552356,2.261030326,5.9375,M,,NonLinLoc,,automatic,nz3drx,11,11,6,0.09863373836,112.3945544,0.6260086486,0
2016p860083,,2016-11-14T05:32:23.738Z,2016-11-14T05:35:44.121Z,174.0205129,-41.81727618,3.26288589,32.65625,M,,NonLinLoc,,automatic,nz3drx,26,26,18,0.1466531054,135.262296,0.9949251414,0
